date,round_num,local_team,away_team,Target,league,prediccion,p_away_win,p_draw,p_home_win,resultado_esperado,confianza
2026-05-12,36,Real Betis,Elche,,la_liga,1,0.17912839411118442,0.2722259517832597,0.5486456541055559,Gana Real Betis,0.5486456541055559
2026-05-13,36,Alaves,Barcelona,,la_liga,-1,0.4124029371216574,0.26403668575718436,0.3235603771211582,Gana Barcelona,0.4124029371216574
2026-05-13,36,Espanyol,Athletic Club,,la_liga,1,0.30466668956401116,0.2591323283697177,0.43620098206627106,Gana Espanyol,0.43620098206627106
2026-05-13,36,Getafe,Mallorca,,la_liga,1,0.30179696169977577,0.2670418929979881,0.43116114530223615,Gana Getafe,0.43116114530223615
2026-05-13,36,Villarreal,Sevilla,,la_liga,1,0.2335780794877312,0.23385913911065762,0.5325627814016112,Gana Villarreal,0.5325627814016112
2026-05-14,36,Girona,Real Sociedad,,la_liga,1,0.31982686634583013,0.2979651590758963,0.38220797457827344,Gana Girona,0.38220797457827344
2026-05-14,36,Real Madrid,Oviedo,,la_liga,1,0.13039373096872764,0.17182789416180402,0.6977783748694684,Gana Real Madrid,0.6977783748694684
2026-05-14,36,Valencia,Rayo Vallecano,,la_liga,1,0.3207213000470626,0.2394146982731614,0.4398640016797761,Gana Valencia,0.4398640016797761
2026-05-17,37,Athletic Club,Celta Vigo,,la_liga,1,0.23141958415620292,0.279934055414939,0.48864636042885806,Gana Athletic Club,0.48864636042885806
2026-05-17,37,Atletico Madrid,Girona,,la_liga,1,0.16613897547330816,0.20804895922440036,0.6258120653022914,Gana Atletico Madrid,0.6258120653022914
2026-05-17,37,Barcelona,Real Betis,,la_liga,1,0.16279841450918706,0.17586745161524456,0.6613341338755684,Gana Barcelona,0.6613341338755684
2026-05-17,37,Elche,Getafe,,la_liga,1,0.21804369290407766,0.31583988421353815,0.4661164228823842,Gana Elche,0.4661164228823842
2026-05-17,37,Levante,Mallorca,,la_liga,-1,0.3569476629172037,0.3100283911860873,0.33302394589670886,Gana Mallorca,0.3569476629172037
2026-05-17,37,Osasuna,Espanyol,,la_liga,1,0.2535302435614934,0.2472767359231651,0.4991930205153415,Gana Osasuna,0.4991930205153415
2026-05-17,37,Oviedo,Alaves,,la_liga,1,0.32969187324564886,0.32493302643880523,0.34537510031554586,Gana Oviedo,0.34537510031554586
2026-05-17,37,Rayo Vallecano,Villarreal,,la_liga,1,0.23486908992278033,0.28536129498014745,0.4797696150970722,Gana Rayo Vallecano,0.4797696150970722
2026-05-17,37,Real Sociedad,Valencia,,la_liga,1,0.19598217431437015,0.23502087654018963,0.5689969491454403,Gana Real Sociedad,0.5689969491454403
2026-05-17,37,Sevilla,Real Madrid,,la_liga,-1,0.3915277676885607,0.2802121311405847,0.32826010117085463,Gana Real Madrid,0.3915277676885607
2026-05-24,38,Alaves,Rayo Vallecano,,la_liga,1,0.26351489298483105,0.24993006104054527,0.4865550459746237,Gana Alaves,0.4865550459746237
2026-05-24,38,Celta Vigo,Sevilla,,la_liga,1,0.20433233917467433,0.22462610305772382,0.5710415577676018,Gana Celta Vigo,0.5710415577676018
2026-05-24,38,Espanyol,Real Sociedad,,la_liga,1,0.3155086938214257,0.28737786631929885,0.39711343985927544,Gana Espanyol,0.39711343985927544
2026-05-24,38,Getafe,Osasuna,,la_liga,1,0.29745684582700516,0.2373685578551523,0.4651745963178426,Gana Getafe,0.4651745963178426
2026-05-24,38,Girona,Elche,,la_liga,1,0.2478030161857403,0.28924905300518705,0.46294793080907265,Gana Girona,0.46294793080907265
2026-05-24,38,Mallorca,Oviedo,,la_liga,1,0.24206941729131995,0.2815828587134703,0.47634772399520986,Gana Mallorca,0.47634772399520986
2026-05-24,38,Real Betis,Levante,,la_liga,1,0.1753801658829045,0.2506540418129657,0.5739657923041298,Gana Real Betis,0.5739657923041298
2026-05-24,38,Real Madrid,Athletic Club,,la_liga,1,0.1620281067479716,0.16952162530827186,0.6684502679437566,Gana Real Madrid,0.6684502679437566
2026-05-24,38,Valencia,Barcelona,,la_liga,-1,0.43755336948832885,0.23249527654242375,0.32995135396924735,Gana Barcelona,0.43755336948832885
2026-05-24,38,Villarreal,Atletico Madrid,,la_liga,1,0.26886735017540414,0.1917758590899943,0.5393567907346016,Gana Villarreal,0.5393567907346016
