target,feature_set,corr_threshold,k,C,class_weight,folds,accuracy,accuracy_std,balanced_accuracy,balanced_accuracy_std,f1,f1_std,roc_auc,roc_auc_std,average_precision,average_precision_std,log_loss,log_loss_std,brier,brier_std
over_15,rolling_plus_table_h2h,0.95,all,0.1,balanced,3,0.5298192771084337,0.07865118623789137,0.5215868190789821,0.07221975834960014,0.621732702089845,0.07830742627964074,0.5348812049439009,0.07942527341749239,0.7409737770825909,0.053969703080306644,1.0355126204001517,0.13619121016488717,0.32576045015232863,0.04299273726804518
over_15,rolling_plus_table_h2h,0.9,all,0.3,balanced,3,0.5298192771084338,0.08562617841501984,0.5051539427714976,0.0773448495553511,0.6299812688562564,0.0839330744460569,0.5214522444929969,0.08501387495159823,0.7345913873807746,0.058404784741530304,1.2822933787083355,0.18888575308907016,0.34976842848111467,0.05215891283332072
over_15,rolling_plus_table_h2h,0.95,all,0.3,balanced,3,0.5443273092369477,0.06462046598500329,0.522230138374339,0.05480856847956199,0.6427078420029962,0.06404620351695342,0.5300808503002861,0.08568464299708632,0.7375866482278385,0.05647176918142926,1.3125220825342017,0.1837244007797868,0.35126789757364546,0.0504819676039381
over_25,rolling_plus_table_h2h,0.95,36,0.03,balanced,3,0.5720883534136546,0.030894261144872117,0.5733530675211801,0.028042880398752697,0.5482093419202013,0.027280347127483697,0.5773030585179363,0.03259765513874872,0.543363168494011,0.023168665258449548,0.7026202974450474,0.0072202122942441735,0.2530277303729232,0.004393726340379363
over_25,rolling_plus_table_h2h,0.9,36,0.03,balanced,3,0.569929718875502,0.015399950430129025,0.5717007852743925,0.012824681312726663,0.5506085312536925,0.014790146017751164,0.5829933994502935,0.026841237820813466,0.5410270312318394,0.020571839670159606,0.7041187216039736,0.011133569309818705,0.25355580376153347,0.005698229158445286
over_25,rolling_plus_table_h2h,0.95,36,0.1,balanced,3,0.5886044176706827,0.02653291732324644,0.5898848732740717,0.02475573518838374,0.5685599913448015,0.034486594821377184,0.5750906839132053,0.02576387428292443,0.5378828349988232,0.018464138950145932,0.717741908263085,0.0083433822568031,0.25825687820393756,0.0032037068004946347
over_25,rolling_plus_table_h2h,0.9,36,0.1,balanced,3,0.5636044176706827,0.011585188182173254,0.5663447993239011,0.010706757575170322,0.5507951963648167,0.008721213140243038,0.5821300046496473,0.02050788707527465,0.543077464826711,0.022109687338234846,0.7196762928721601,0.010703643001864781,0.258973833024635,0.004387450275107928
over_25,rolling_plus_table_h2h,0.95,72,0.03,balanced,3,0.5330321285140562,0.01200376682114769,0.5324091305671984,0.014186661663301587,0.5010456605088881,0.02021960843478886,0.5733006059087346,0.01337349297100276,0.5546752352071054,0.015349713925473471,0.7305707732546596,0.0014132274701599,0.26380288789561623,0.0011348947325280853
over_25,rolling_plus_table_h2h,0.95,36,0.3,balanced,3,0.5700803212851406,0.02156555457162064,0.5714080795022346,0.020087634931921235,0.5503603150661974,0.028565835324227174,0.571688625839494,0.025442059910466445,0.535514967217905,0.019912950616262585,0.7306989045284867,0.016645743318576774,0.2626032162904524,0.00434432805601712
over_25,rolling_plus_table_h2h,0.9,36,0.3,balanced,3,0.5595883534136546,0.006952040973382239,0.5627605699332201,0.0059753423963705265,0.5484745212593314,0.007629430625693958,0.5765891358592607,0.017487593526295083,0.5357823925256343,0.017576298778268145,0.7314467468693887,0.015254184880508122,0.2629065646223366,0.004313542263567643
over_25,rolling_plus_table_h2h,0.9,72,0.03,balanced,3,0.5140562248995983,0.02234550477216494,0.5142707779677914,0.020702530996133305,0.48678268931433494,0.015840049345352526,0.5662349928661645,0.018023464972763602,0.5371152629928929,0.0008841351543940256,0.7370169535801817,0.009093420432923539,0.26617365279826877,0.004038909661641333
over_25,rolling_plus_table_h2h,0.95,72,0.1,balanced,3,0.5307228915662651,0.03167022222464591,0.5306347841682979,0.03303423029691639,0.5021067821067821,0.03241082750623976,0.5685432148538536,0.012945992812017372,0.5547288959667557,0.017867064692315745,0.7582750865224064,0.007813056607233226,0.2729304127817531,0.0015165777200316403
over_25,rolling_plus_table_h2h,0.9,72,0.1,balanced,3,0.5222389558232932,0.023180489280968778,0.5244512200495517,0.02169758845471116,0.5017868745938922,0.019991729416660522,0.5621315819774589,0.01796539839713731,0.5383150519674862,0.013111572610789263,0.7668283404514987,0.008937010131584398,0.2758952217451491,0.0038191684138472338
over_25,rolling_plus_table_h2h,0.95,72,0.3,balanced,3,0.5325803212851405,0.04072587924608984,0.5325111410126984,0.04195234817825765,0.4981477564259021,0.04794201447345355,0.565223231167208,0.017381093155794353,0.5526600350930939,0.018416042061085314,0.78237396860068,0.016471064342752157,0.2797760232622764,0.0027797643518919176
over_25,rolling_plus_table_h2h,0.9,72,0.3,balanced,3,0.5120481927710844,0.026589181348155216,0.5134580540883419,0.027868676678541166,0.48747821540606484,0.03174574888444979,0.5633990757231006,0.019545331652335542,0.5454529846514674,0.0152920939825626,0.7912275670152166,0.010704544991542412,0.2828042252293237,0.003843703552250672
over_25,rolling_plus_table_h2h,0.9,all,0.03,balanced,3,0.5528112449799196,0.05668859992390783,0.5526479668089661,0.05735584885675412,0.5228513742944984,0.055829217702778385,0.5405508504399464,0.07711523341875373,0.5105230841450674,0.05659929635437773,0.8669192090429263,0.0733415456786143,0.3010286973748543,0.02946776064338718
over_25,rolling_plus_table_h2h,0.95,all,0.03,balanced,3,0.5464859437751004,0.0630615208763255,0.5465951167469765,0.06432705858699028,0.5190143652082267,0.06262580469673983,0.5338169313897626,0.08111422361497457,0.5066793963340351,0.0642624393770835,0.8771615400890683,0.07372114096241002,0.30422501332973156,0.02923588969376895
over_25,rolling_plus_table_h2h,0.9,all,0.1,balanced,3,0.5358433734939759,0.08531313022168845,0.5378281328649392,0.08814023717048051,0.5165122649785227,0.08800732572950688,0.5290065753180764,0.08612696621523161,0.4942376342113268,0.05981478219862033,1.0607699391769845,0.08983693867851715,0.3335991554438777,0.0381598280674725
over_25,rolling_plus_table_h2h,0.95,all,0.1,balanced,3,0.5380020080321285,0.07762638359315172,0.5400269957387102,0.07975134494888791,0.5250806361917473,0.0710339002111327,0.5253304505055365,0.08779544317978774,0.4998300891145333,0.06393094987360982,1.0787749722138622,0.09451910394887458,0.33846656791156016,0.0382671307977671
over_25,rolling_plus_table_h2h,0.9,all,0.3,balanced,3,0.5046686746987952,0.09762963102519263,0.5056451719277884,0.0985866964226031,0.4922309834617293,0.0840720402646944,0.5187489722617925,0.08838518121166074,0.4863574663038757,0.05754890245789843,1.3775987651617951,0.1002434355699071,0.36638750526828073,0.047345123297204784
over_25,rolling_plus_table_h2h,0.95,all,0.3,balanced,3,0.5150100401606426,0.10028223325209366,0.5159028950887373,0.10080400379531,0.5025300029520734,0.08317259627225963,0.5171993322163074,0.0881389736213973,0.49049846281059967,0.0608764055471871,1.400638736139089,0.1149602633594129,0.37145726762194115,0.04759478251636129
btts,rolling_plus_table,0.95,36,0.03,balanced,3,0.532429718875502,0.0299758912391233,0.5341277771525077,0.02885613177515548,0.5298109375619475,0.024471639121216707,0.5473148170932015,0.005921233618805772,0.5575646350336259,0.016634950936672808,0.7120402648393803,0.005777183044784715,0.2584785476126476,0.001806784498068024
btts,rolling_plus_table,0.9,36,0.03,balanced,3,0.5347389558232932,0.017142379873365875,0.5346636412742943,0.01681901824794644,0.5458137561137797,0.019769966360460238,0.5338049290846848,0.00716251811542042,0.5500899918023543,0.010967493838351173,0.7158141503442647,0.006324258706399556,0.26019061137856814,0.002261634578843915
btts,rolling_plus_table,0.95,36,0.1,balanced,3,0.5140562248995983,0.02234550477216494,0.5155530224490276,0.02108507031136366,0.5132738747196579,0.03271591850929821,0.5368578671966605,0.007023358729776257,0.5529754837577731,0.015609904390840841,0.7273275717189452,0.009215356312086044,0.26505444033961095,0.0027983541049289725
btts,rolling_plus_table,0.9,72,0.03,balanced,3,0.5308734939759036,0.025521073257976992,0.5331883087907184,0.028433447291238128,0.5292252219287312,0.019782046282151796,0.5241015773696592,0.007004904768255342,0.54300905243838,0.01366746879285437,0.7290511177709362,0.009456069070117477,0.2660612281640256,0.003574660209897003
