player_id,player,team,partidos,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves,g_per90,a_per90,ga_per90,sh_per90,kp_per90,bcc_per90,crosses_per90,int_per90,clr_per90,rec_per90,saves_per90,fouls_per90,fouled_per90,pass_acc_pct,long_ball_pct,cross_acc_pct,dribble_win_pct,tackle_acc_pct,duel_win_pct,aerial_win_pct,conv_rate,sot_rate
924528,Matías Campos López,Unión La Calera,9,284,1,0,6,3,3,1,0,99,45,31,2,2,1,1,10,3,0,2,0,3,4,6,11,38,0,2,1,1,0,0.32,0.0,0.32,1.9,0.95,0.32,0.32,0.0,0.63,1.9,0.0,0.63,0.32,68.9,100.0,100.0,30.0,0.0,22.4,9.5,16.7,50.0
588796,Jimmy Martínez,Universidad Católica,10,590,1,1,7,4,6,1,0,388,275,211,30,14,26,7,4,3,5,2,6,12,5,26,37,29,0,17,17,0,0,0.15,0.15,0.31,1.07,0.92,0.15,3.97,0.76,0.31,3.97,0.0,2.59,2.59,76.7,46.7,26.9,75.0,50.0,56.1,14.7,14.3,57.1
986599,Joaquín Montecinos,Deportes Limache,11,585,1,1,5,3,9,2,0,328,154,97,22,5,40,12,18,10,3,18,9,10,3,23,29,36,1,5,6,0,0,0.15,0.15,0.31,0.77,1.38,0.31,6.15,0.46,2.77,3.54,0.0,0.77,0.92,63.0,22.7,30.0,55.6,90.0,44.6,7.7,20.0,60.0
1083863,Nicolás Aedo,Audax Italiano,10,576,0,2,5,2,11,2,0,354,248,203,34,21,30,11,9,3,4,3,4,5,1,23,15,25,1,4,6,1,0,0.0,0.31,0.31,0.78,1.72,0.31,4.69,0.62,0.47,3.59,0.0,0.62,0.94,81.9,61.8,36.7,33.3,80.0,37.5,3.8,0.0,40.0
1199239,Emiliano Ramos,Everton de Viña del Mar,11,597,0,2,9,1,10,4,3,288,130,100,8,4,31,8,13,4,8,16,0,1,9,29,27,59,0,8,13,1,0,0.0,0.3,0.3,1.36,1.51,0.6,4.67,1.21,2.41,4.37,0.0,1.21,1.96,76.9,50.0,25.8,30.8,0.0,31.4,13.2,0.0,11.1
1834686,Martín Mundaca,Coquimbo Unido,7,299,1,0,7,4,4,1,2,169,103,71,11,6,6,1,9,6,1,2,2,4,4,18,19,11,0,2,5,1,0,0.3,0.0,0.3,2.11,1.2,0.3,1.81,0.3,0.6,5.42,0.0,0.6,1.51,68.9,54.5,16.7,66.7,50.0,63.3,26.7,14.3,57.1
582220,Nicolás Stefanelli,Deportes La Serena,8,310,1,0,5,5,8,0,0,169,102,72,11,2,3,1,11,4,2,5,2,3,4,26,19,24,0,0,8,1,0,0.29,0.0,0.29,1.45,2.32,0.0,0.87,0.58,1.45,7.55,0.0,0.0,2.32,70.6,18.2,33.3,36.4,66.7,44.2,14.3,20.0,100.0
889502,Álvaro Madrid,Colo-Colo,10,614,2,0,11,6,4,1,0,421,302,250,32,18,17,4,13,6,2,7,8,13,3,34,33,40,0,8,11,2,0,0.29,0.0,0.29,1.61,0.59,0.15,2.49,0.29,1.03,4.98,0.0,1.17,1.61,82.8,56.2,23.5,46.2,61.5,45.2,7.0,18.2,54.5
376740,Guido Vadalá,Coquimbo Unido,9,650,2,0,11,6,10,0,2,268,153,109,15,6,14,4,20,8,1,0,5,6,0,21,20,37,1,4,6,2,0,0.28,0.0,0.28,1.52,1.38,0.0,1.94,0.14,0.0,2.91,0.0,0.55,0.83,71.2,40.0,28.6,40.0,83.3,35.1,0.0,18.2,54.5
1503119,Giovanny Avalos,Ñublense,6,316,1,0,4,2,3,0,1,120,68,43,3,1,7,1,4,2,1,2,4,5,5,18,16,18,0,2,4,1,0,0.28,0.0,0.28,1.14,0.85,0.0,1.99,0.28,0.57,5.13,0.0,0.57,1.14,63.2,33.3,14.3,50.0,80.0,47.1,21.7,25.0,50.0
