player_id,player,team,position,pos_label,partidos
805095,Jeisson Vargas,Deportes La Serena,M,Mediocampo,11
1807803,Joan Orellana,Deportes La Serena,M,Mediocampo,11
986598,Joaquín Gutiérrez,Deportes La Serena,M,Mediocampo,10
906100,Lucas Alarcón,Deportes La Serena,D,Defensa,11
874589,Matías Marín,Deportes La Serena,M,Mediocampo,11
1155908,Matías Pinto,Deportes La Serena,D,Defensa,3
1980426,Milovan Velásquez,Deportes La Serena,M,Mediocampo,6
582220,Nicolás Stefanelli,Deportes La Serena,F,Delantera,8
799653,Rafael Delgado,Deportes La Serena,D,Defensa,11
844271,Sebastián Díaz,Deportes La Serena,M,Mediocampo,7
1384819,Yahir Salazar,Deportes La Serena,D,Defensa,8
2455975,Ángel Carvajal,Deportes La Serena,F,Delantera,4
165511,Ángelo Henríquez,Deportes La Serena,F,Delantera,3
33829,Alfonso Parot,Deportes Limache,D,Defensa,7
875564,Augusto Aguirre,Deportes Limache,D,Defensa,11
1199394,Axel Alfonzo,Deportes Limache,D,Defensa,8
1482374,Bejamín Molina,Deportes Limache,D,Defensa,6
1125514,Carlos Morales,Deportes Limache,D,Defensa,9
924180,Claudio González,Deportes Limache,G,Arquero,11
247073,César Fuentes,Deportes Limache,M,Mediocampo,11
818974,César Pinares,Deportes Limache,M,Mediocampo,8
925992,Daniel Castro,Deportes Limache,F,Delantera,11
877098,Danilo Catalán,Deportes Limache,M,Mediocampo,4
2116602,Facundo Marín,Deportes Limache,M,Mediocampo,10
1644853,Flavio Moya,Deportes Limache,M,Mediocampo,11
988084,Gonzalo Sosa,Deportes Limache,F,Delantera,11
818816,Jean Meneses,Deportes Limache,M,Mediocampo,11
986599,Joaquín Montecinos,Deportes Limache,M,Mediocampo,11
1197239,Marcelo Flores,Deportes Limache,D,Defensa,11
871813,Marcos Arturia,Deportes Limache,F,Delantera,11
2524603,Martins Smith,Deportes Limache,G,Arquero,2
874123,Matías Bórquez,Deportes Limache,G,Arquero,9
863124,Misael Llantén,Deportes Limache,M,Mediocampo,11
874853,Ramón Martínez,Deportes Limache,M,Mediocampo,11
2171167,Vicente Vargas,Deportes Limache,M,Mediocampo,2
1801194,Vicente Álvarez,Deportes Limache,F,Delantera,11
980882,Yerko González,Deportes Limache,D,Defensa,11
975053,Alan Medina,Everton de Viña del Mar,M,Mediocampo,11
2059827,Amaro Leon,Everton de Viña del Mar,M,Mediocampo,6
886912,Benjamín Berríos,Everton de Viña del Mar,M,Mediocampo,7
1020255,Braian Martínez,Everton de Viña del Mar,M,Mediocampo,10
1384618,Byron Navarro,Everton de Viña del Mar,M,Mediocampo,7
129209,Cristian Palacios,Everton de Viña del Mar,F,Delantera,8
988143,Cristopher Barrera,Everton de Viña del Mar,F,Delantera,8
1199238,Cristóbal Chadwick,Everton de Viña del Mar,F,Delantera,2
339891,Diego Oyarzún,Everton de Viña del Mar,D,Defensa,11
800239,Dieter Villalpando,Everton de Viña del Mar,M,Mediocampo,7
1199239,Emiliano Ramos,Everton de Viña del Mar,F,Delantera,11
1182260,Esteban Kirkman,Everton de Viña del Mar,G,Arquero,11
846140,Felipe Villagrán,Everton de Viña del Mar,M,Mediocampo,4
976168,Hugo Magallanes,Everton de Viña del Mar,D,Defensa,9
790001,Ignacio González,Everton de Viña del Mar,G,Arquero,11
