player_in_id,player_in,team,entradas,pm_after_avg,pm_after_sum
912067.0,Michael Vadulli,Audax Italiano,2,0.0,0
924468.0,Matías Cavalleri,Deportes Concepción,2,0.0,0
924505.0,Eryin Sanhueza,Deportes La Serena,1,0.0,0
906105.0,Maximiliano Guerrero,Universidad de Chile,4,0.0,0
1981736.0,Vicente Villegas,Coquimbo Unido,1,0.0,0
1980388.0,Gabriel Maureira,Colo-Colo,1,0.0,0
1872533.0,Sergio Carrasco,Cobresal,1,0.0,0
1834686.0,Martín Mundaca,Coquimbo Unido,3,0.0,0
1835778.0,Benjamín Ramírez,Cobresal,1,0.0,0
1386875.0,Dilan Salgado,Palestino,4,0.0,0
1199394.0,Axel Alfonzo,Deportes Limache,4,0.0,0
1201172.0,Lucas Romero,Universidad de Chile,1,0.0,0
1014802.0,Rodrigo Sandoval,Cobresal,1,0.0,0
988143.0,Cristopher Barrera,Everton de Viña del Mar,2,0.0,0
1482371.0,Bastián Escobar,Deportes Concepción,1,0.0,0
1464930.0,Martín Araya,Palestino,1,0.0,0
988084.0,Gonzalo Sosa,Deportes Limache,1,0.0,0
1106822.0,Bastián Ubal,Universidad de Concepción,2,0.0,0
1089454.0,Francis Mac Allister,Deportes La Serena,1,0.0,0
987924.0,Antonio Castillo,Cobresal,1,0.0,0
1199238.0,Cristóbal Chadwick,Everton de Viña del Mar,1,0.0,0
1199239.0,Emiliano Ramos,Everton de Viña del Mar,6,0.0,0
2199269.0,Benjamín Sáez,Universidad de Concepción,2,0.0,0
2455393.0,Francisco Herrera,Universidad de Concepción,3,0.0,0
2496220.0,Benjamín Argandoña,Unión La Calera,1,0.0,0
1116992.0,Antonio Ceza,Palestino,2,0.0,0
2456453.0,Maximiliano Fernandez,Unión La Calera,1,0.0,0
2456021.0,Albert Gomez,Palestino,1,0.0,0
581780.0,Javier Correa,Colo-Colo,4,0.0,0
581774.0,Agustín Farías,Universidad Católica,1,0.0,0
2116602.0,Facundo Marín,Deportes Limache,2,0.0,0
2076826.0,Mateo González Peña,Deportes Concepción,1,0.0,0
2145368.0,Martín Espinoza Pino,Universidad de Chile,1,0.0,0
334027.0,Julián Fernández,Palestino,1,0.0,0
247079.0,Carlos Escobar,Deportes Concepción,2,0.0,0
247073.0,César Fuentes,Deportes Limache,5,0.0,0
923802.0,Thiago Vecino,O'Higgins,7,-0.14,-1
1482412.0,Ignacio Vásquez,Universidad de Chile,7,-0.14,-1
1064150.0,Nicolás Meza,Palestino,6,-0.17,-1
1125923.0,Gonzalo Tapia,Palestino,5,-0.2,-1
1086986.0,Franco Frías,Cobresal,5,-0.2,-1
819005.0,Cristián Gutiérrez,Unión La Calera,5,-0.2,-1
1125898.0,Ángel Gillard,Deportes Concepción,9,-0.22,-2
1138070.0,Felipe Salomoni,Universidad de Chile,4,-0.25,-1
1482455.0,Leenhan Romero,Deportes Concepción,4,-0.25,-1
1807803.0,Joan Orellana,Deportes La Serena,4,-0.25,-1
1973053.0,Benjamín Valenzuela,Cobresal,4,-0.25,-1
1643443.0,Nicolás Johansen,Coquimbo Unido,4,-0.25,-1
1125882.0,Harol Salgado,Universidad de Concepción,4,-0.25,-1
1108549.0,Claudio Torres,Huachipato,4,-0.25,-1
1403421.0,Axel Encinas,Unión La Calera,3,-0.33,-1
1197454.0,Yonathan Rodríguez,Deportes Concepción,3,-0.33,-1
1014798.0,Luciano Arriagada,Huachipato,3,-0.33,-1
1469553.0,Martín Cárcamo,Everton de Viña del Mar,3,-0.33,-1
986422.0,Aldrix Jara,Deportes Concepción,3,-0.33,-1
924528.0,Matías Campos López,Unión La Calera,6,-0.33,-2
1835777.0,Benjamin Moreno,Cobresal,3,-0.33,-1
986529.0,Ethan Espinoza,Deportes Concepción,6,-0.33,-2
973567.0,Pablo Parra,Universidad de Concepción,3,-0.33,-1
1798260.0,Joaquín Tapia,O'Higgins,3,-0.33,-1
985004.0,Benjamín Rojas,O'Higgins,3,-0.33,-1
1980392.0,Javier Rojas,Deportes Concepción,3,-0.33,-1
844271.0,Sebastián Díaz,Deportes La Serena,3,-0.33,-1
39244.0,Lucas Pratto,Coquimbo Unido,6,-0.33,-2
2048673.0,Pablo Rodríguez,Coquimbo Unido,3,-0.33,-1
906112.0,Oliver Rojas,Audax Italiano,3,-0.33,-1
889043.0,Rodrigo Holgado,Coquimbo Unido,3,-0.33,-1
875274.0,Diego Coelho,Audax Italiano,5,-0.4,-2
805150.0,Ronnie Fernández,Palestino,2,-0.5,-1
822444.0,Yerko Leiva,Unión La Calera,4,-0.5,-2
589542.0,Israel Poblete,Universidad de Chile,2,-0.5,-1
799653.0,Rafael Delgado,Deportes La Serena,2,-0.5,-1
1875021.0,Bastián Contreras,Deportes La Serena,4,-0.5,-2
1021117.0,César Yanis,Cobresal,2,-0.5,-1
1199243.0,Lautaro Pastrán,Colo-Colo,2,-0.5,-1
883483.0,Moisés González,Universidad de Concepción,2,-0.5,-1
942415.0,Bastián Yáñez,O'Higgins,4,-0.5,-2
940483.0,Maximiliano Rodríguez,Huachipato,2,-0.5,-1
877098.0,Danilo Catalán,Deportes Limache,2,-0.5,-1
1797930.0,Francisco Montes,Palestino,2,-0.5,-1
1411683.0,Renato Huerta,Cobresal,4,-0.5,-2
965775.0,Agustín Urzi,Universidad de Concepción,2,-0.5,-1
986598.0,Joaquín Gutiérrez,Deportes La Serena,2,-0.5,-1
1108027.0,Alejandro Azócar,Coquimbo Unido,4,-0.5,-2
2163290.0,Cristobal Zambrano,Universidad de Concepción,2,-0.5,-1
1125880.0,Benjamín Chandía,Coquimbo Unido,4,-0.5,-2
359024.0,Juan Martín Lucero,Universidad de Chile,2,-0.5,-1
1155908.0,Matías Pinto,Deportes La Serena,2,-0.5,-1
1385673.0,Valentín Vidal,Everton de Viña del Mar,2,-0.5,-1
962847.0,Esteban Valencia,Cobresal,7,-0.57,-4
230054.0,Bryan Carrasco,Palestino,7,-0.57,-4
997539.0,Rodrigo Cabral,Audax Italiano,5,-0.6,-3
1502658.0,Fernando Dinamarca,Deportes La Serena,3,-0.67,-2
789677.0,Martín Sarrafiore,O'Higgins,3,-0.67,-2
2455976.0,Bastián Sandoval,Deportes La Serena,3,-0.67,-2
589548.0,Nelson Sepúlveda,Deportes Concepción,3,-0.67,-2
1114520.0,Paolo Guajardo,Audax Italiano,6,-0.67,-4
965719.0,Ariel Uribe,Universidad de Concepción,8,-0.75,-6
1002941.0,Joan Cruz,Unión La Calera,4,-0.75,-3
973986.0,Cristián Zavala,Coquimbo Unido,4,-0.75,-3
986599.0,Joaquín Montecinos,Deportes Limache,4,-0.75,-3
1017320.0,Jason León,Palestino,5,-0.8,-4
2038202.0,Rodrigo Godoy,O'Higgins,5,-0.8,-4
1083863.0,Nicolás Aedo,Audax Italiano,2,-1.0,-2
790000.0,Bryan Carvallo,Cobresal,1,-1.0,-1
1087387.0,Marcelo Morales,Universidad de Chile,1,-1.0,-1
1020255.0,Braian Martínez,Everton de Viña del Mar,3,-1.0,-3
385990.0,Juan Fuentes,Cobresal,2,-1.0,-2
333405.0,Felipe Campos,Ñublense,1,-1.0,-1
2456836.0,Joel Ahumada,Audax Italiano,1,-1.0,-1
339699.0,Luis Pavez Munoz,O'Higgins,1,-1.0,-1
2462954.0,Ricardo Rebolledo,Everton de Viña del Mar,1,-1.0,-1
1384618.0,Byron Navarro,Everton de Viña del Mar,3,-1.0,-3
1183778.0,Daniel Barrea,Universidad de Concepción,1,-1.0,-1
1063335.0,Felipe Chamorro,Deportes La Serena,1,-1.0,-1
1002931.0,Bruno Gutiérrez,Deportes La Serena,1,-1.0,-1
2046426.0,Cristóbal Sepúlveda,Deportes La Serena,2,-1.0,-2
1980426.0,Milovan Velásquez,Deportes La Serena,1,-1.0,-1
1503119.0,Giovanny Avalos,Ñublense,1,-1.0,-1
906108.0,Antonio Díaz,Universidad de Concepción,5,-1.0,-5
1016643.0,Aaron Astudillo,Cobresal,2,-1.0,-2
1482287.0,David Retamal,Universidad de Concepción,1,-1.0,-1
986532.0,Federico Mateos,Audax Italiano,2,-1.0,-2
1906001.0,Daniel Cordero,Deportes La Serena,1,-1.0,-1
1835784.0,Matias Sepulveda,Cobresal,1,-1.0,-1
861299.0,Carlo Villanueva,Unión La Calera,1,-1.0,-1
819017.0,Jonathan Benítez,Palestino,5,-1.2,-6
1409341.0,Esteban Calderón,O'Higgins,1,-2.0,-2
986622.0,José Tiznado,Cobresal,1,-2.0,-2
974009.0,Sebastián Galani,Coquimbo Unido,1,-2.0,-2
800239.0,Dieter Villalpando,Everton de Viña del Mar,1,-2.0,-2
2039913.0,Martín Guzmán,Everton de Viña del Mar,1,-2.0,-2
