match_id,date,team,player_in_id,player_in,player_out,minute,pm_at_entry,pm_after
15352967,2026-02-21,Coquimbo Unido,986513.0,Dylan Escobar,Luis Riveros,71,-2,0
15352967,2026-02-21,Coquimbo Unido,1108027.0,Alejandro Azócar,Guido Vadalá,79,-2,0
15352968,2026-02-22,Audax Italiano,1440662.0,Favian Loyola,Paolo Guajardo,57,0,1
15352968,2026-02-22,Audax Italiano,1920586.0,Mario Sandoval,Nicolás Aedo,74,1,0
15352968,2026-02-22,Audax Italiano,859990.0,Franco Troyansky,Rodrigo Cabral,74,1,0
15352968,2026-02-22,Audax Italiano,1473443.0,Diego Monreal,Federico Mateos,82,1,0
15352968,2026-02-22,Audax Italiano,906112.0,Oliver Rojas,Giovani Chiaverano,82,1,0
15352968,2026-02-22,Everton de Viña del Mar,1119679.0,Lucas Soto,Cristopher Barrera,61,0,-1
15352968,2026-02-22,Everton de Viña del Mar,1469553.0,Martín Cárcamo,Julián Alfaro,70,-1,0
15352968,2026-02-22,Everton de Viña del Mar,1020255.0,Braian Martínez,Vicente Vega,83,-1,0
15352968,2026-02-22,Everton de Viña del Mar,2059827.0,Amaro Leon,Emiliano Ramos,84,-1,0
15352969,2026-02-07,Coquimbo Unido,889498.0,Manuel Fernández,Dixon Pereira,45,2,0
15352969,2026-02-07,Coquimbo Unido,1125880.0,Benjamín Chandía,Lucas Pratto,60,2,0
15352969,2026-02-07,Coquimbo Unido,981333.0,Dylan Glaby,Alejandro Camargo,60,2,0
15352969,2026-02-07,Coquimbo Unido,1643443.0,Nicolás Johansen,Luis Riveros,67,2,0
15352969,2026-02-07,Coquimbo Unido,974008.0,Sebastián Cabrera,Guido Vadalá,67,2,0
15352969,2026-02-07,Palestino,883928.0,Nelson Da Silva,Jonathan Benítez,46,-2,0
15352969,2026-02-07,Palestino,105971.0,Enzo Roco,Antonio Ceza,46,-2,0
15352969,2026-02-07,Palestino,1125923.0,Gonzalo Tapia,Francisco Montes,46,-2,0
15352969,2026-02-07,Palestino,1017320.0,Jason León,Ian Garguez,46,-2,0
15352969,2026-02-07,Palestino,1985127.0,Ian Alegría,Bryan Carrasco,71,-2,0
15352969,2026-02-07,Palestino,,?,Ronnie Fernández,90,-2,0
15352970,2026-02-21,O'Higgins,1798260.0,Joaquín Tapia,Francisco González,60,-1,0
15352970,2026-02-21,O'Higgins,126376.0,Bryan Rabello,Martín Sarrafiore,60,-1,0
15352970,2026-02-21,O'Higgins,2038202.0,Rodrigo Godoy,Bastián Yáñez,76,-1,0
15352970,2026-02-21,O'Higgins,1485083.0,Benjamin Schamine,Felipe Ogaz,76,-1,0
15352970,2026-02-21,O'Higgins,923802.0,Thiago Vecino,Arnaldo Castillo,79,-1,0
15352970,2026-02-21,Colo-Colo,1199243.0,Lautaro Pastrán,Leandro Hernández,67,1,0
15352970,2026-02-21,Colo-Colo,1482420.0,Francisco Marchant,Claudio Aquino,79,1,0
15352970,2026-02-21,Colo-Colo,889502.0,Álvaro Madrid,Arturo Vidal,79,1,0
15352970,2026-02-21,Colo-Colo,924858.0,Javier Méndez,Maximiliano Romero,89,1,0
15352970,2026-02-21,Colo-Colo,1997136.0,Yastin Cuevas,Tomás Alarcón,90,1,0
15352971,2026-02-08,Ñublense,951278.0,Manuel Rivera,Diego Sanhueza,46,-1,1
15352971,2026-02-08,Ñublense,949422.0,Carlos Salomón,Pablo Calderón,65,0,0
15352971,2026-02-08,Ñublense,1197415.0,Alex Valdés,Ignacio Tapia,65,0,0
15352971,2026-02-08,Ñublense,962130.0,Fernando Ovelar,Matías Plaza,70,0,0
15352971,2026-02-08,Ñublense,1518443.0,Franco Rami,Ignacio Jeraldino,80,0,0
15352971,2026-02-08,Deportes Limache,1199394.0,Axel Alfonzo,Joaquín Montecinos,65,0,0
15352971,2026-02-08,Deportes Limache,247073.0,César Fuentes,César Pinares,82,0,0
15352971,2026-02-08,Deportes Limache,871813.0,Marcos Arturia,Daniel Castro,90,0,0
15352972,2026-02-01,Palestino,1125923.0,Gonzalo Tapia,Joe Abrigo,46,1,-1
15352972,2026-02-01,Palestino,1017320.0,Jason León,Jonathan Benítez,57,1,-1
15352972,2026-02-01,Palestino,883928.0,Nelson Da Silva,Ronnie Fernández,79,0,0
15352972,2026-02-01,Palestino,1386875.0,Dilan Salgado,Bryan Carrasco,80,0,0
15352972,2026-02-01,Ñublense,1118269.0,Ignacio Tapia,Gabriel Graciani,58,-1,1
15352972,2026-02-01,Ñublense,973992.0,Diego Céspedes,Manuel Rivera,59,-1,1
15352972,2026-02-01,Ñublense,1518443.0,Franco Rami,Lucas Molina,59,-1,1
15352972,2026-02-01,Ñublense,962130.0,Fernando Ovelar,Ignacio Jeraldino,77,0,0
15352972,2026-02-01,Ñublense,1981750.0,Daniel Saavedra,Matías Plaza,82,0,0
15352973,2026-02-21,Huachipato,988078.0,Harold Antiñirre,José Ignacio Castro,45,-1,2
