player_id,player,team,partidos,minutos,gf_on,ga_on,pm,pm_per90
47441,Nicola Pérez,Ñublense,11,990.0,9,8,1,0.09
26480,Marcelo Díaz,Universidad de Chile,3,69.0,1,0,1,1.3
22975,Gary Medel,Universidad Católica,7,630.0,11,10,1,0.14
18304,Charles Aránguiz,Universidad de Chile,7,495.0,4,4,0,0.0
2076826,Mateo González Peña,Deportes Concepción,1,24.0,0,0,0,0.0
2116602,Facundo Marín,Deportes Limache,2,3.0,0,0,0,0.0
2059827,Amaro Leon,Everton de Viña del Mar,3,45.0,0,0,0,0.0
2058867,Sebastián Arancibia,Universidad Católica,3,167.0,2,2,0,0.0
2057322,Vicente Ramírez,Universidad de Chile,1,28.0,0,0,0,0.0
2048673,Pablo Rodríguez,Coquimbo Unido,4,136.0,3,3,0,0.0
949422,Carlos Salomón,Ñublense,3,37.0,0,0,0,0.0
2455393,Francisco Herrera,Universidad de Concepción,3,66.0,0,0,0,0.0
975882,Tomás Ahumada,Audax Italiano,11,990.0,14,14,0,0.0
975053,Alan Medina,Everton de Viña del Mar,11,954.0,9,9,0,0.0
974008,Sebastián Cabrera,Coquimbo Unido,5,304.0,3,3,0,0.0
2145368,Martín Espinoza Pino,Universidad de Chile,1,2.0,0,0,0,0.0
2121648,Martín Gómez,Universidad Católica,3,18.0,0,0,0,0.0
1016766,Alfred Canales,Universidad Católica,4,57.0,0,0,0,0.0
986548,Francisco Salinas,Coquimbo Unido,9,810.0,9,9,0,0.0
896624,Juan Ignacio Díaz,Universidad Católica,9,810.0,15,15,0,0.0
988143,Cristopher Barrera,Everton de Viña del Mar,4,164.0,0,0,0,0.0
986513,Dylan Escobar,Coquimbo Unido,4,232.0,4,4,0,0.0
942156,Marco Collao,Audax Italiano,9,740.0,11,11,0,0.0
924858,Javier Méndez,Colo-Colo,3,6.0,0,0,0,0.0
924528,Matías Campos López,Unión La Calera,9,277.0,3,3,0,0.0
924505,Eryin Sanhueza,Deportes La Serena,1,56.0,0,0,0,0.0
997539,Rodrigo Cabral,Audax Italiano,10,480.0,4,4,0,0.0
1002939,Lucas Assadi,Universidad de Chile,8,484.0,3,3,0,0.0
889500,Nicolás Fernández,Universidad de Chile,3,18.0,0,0,0,0.0
1096735,Juan Cornejo,Coquimbo Unido,8,720.0,11,11,0,0.0
1063335,Felipe Chamorro,Deportes La Serena,11,854.0,12,12,0,0.0
1089454,Francis Mac Allister,Deportes La Serena,10,824.0,9,9,0,0.0
1020255,Braian Martínez,Everton de Viña del Mar,10,477.0,4,4,0,0.0
1177235,Daniel Piña,Audax Italiano,11,990.0,14,14,0,0.0
1177673,Kevin Altez,Huachipato,8,200.0,3,3,0,0.0
1183778,Daniel Barrea,Universidad de Concepción,2,95.0,1,1,0,0.0
1108721,Maicol León,Huachipato,11,487.0,8,8,0,0.0
1125257,Nicolás Palma,Unión La Calera,7,614.0,7,7,0,0.0
859990,Franco Troyansky,Audax Italiano,11,548.0,10,10,0,0.0
863129,Sebastián Valencia,Ñublense,8,644.0,5,5,0,0.0
846140,Felipe Villagrán,Everton de Viña del Mar,1,15.0,0,0,0,0.0
852143,Luis Riveros,Coquimbo Unido,10,538.0,7,7,0,0.0
790001,Ignacio González,Everton de Viña del Mar,11,990.0,9,9,0,0.0
790149,Octavio Rivero,Universidad de Chile,2,92.0,0,0,0,0.0
1508614,Santiago Londoño,Everton de Viña del Mar,3,70.0,0,0,0,0.0
1835784,Matias Sepulveda,Cobresal,2,50.0,0,0,0,0.0
1864232,Nicolás Montiel,Everton de Viña del Mar,6,204.0,1,1,0,0.0
1872533,Sergio Carrasco,Cobresal,1,10.0,0,0,0,0.0
339711,Dilan Zúñiga,Palestino,10,895.0,13,13,0,0.0
1798260,Joaquín Tapia,O'Higgins,6,296.0,5,5,0,0.0
2496220,Benjamín Argandoña,Unión La Calera,1,1.0,0,0,0,0.0
2523858,Martín Torrejón,Huachipato,1,4.0,0,0,0,0.0
247079,Carlos Escobar,Deportes Concepción,3,81.0,0,0,0,0.0
1482420,Francisco Marchant,Colo-Colo,9,239.0,3,3,0,0.0
581780,Javier Correa,Colo-Colo,8,372.0,3,3,0,0.0
1482432,Diego Vargas,Universidad de Chile,3,192.0,1,1,0,0.0
581774,Agustín Farías,Universidad Católica,3,120.0,2,2,0,0.0
1484208,Juan Figueroa,Huachipato,5,258.0,2,2,0,0.0
1199243,Lautaro Pastrán,Colo-Colo,6,340.0,3,3,0,0.0
799653,Rafael Delgado,Deportes La Serena,10,695.0,9,9,0,0.0
1985127,Ian Alegría,Palestino,1,19.0,1,1,0,0.0
2038211,Sebastián Melgarejo,Huachipato,1,0.0,0,0,0,
2456839,Vicente Zenteno,Audax Italiano,2,167.0,4,4,0,0.0
2456836,Joel Ahumada,Audax Italiano,1,5.0,0,0,0,0.0
2456453,Maximiliano Fernandez,Unión La Calera,1,16.0,0,0,0,0.0
2456021,Albert Gomez,Palestino,1,3.0,0,0,0,0.0
165511,Ángelo Henríquez,Deportes La Serena,2,7.0,0,0,0,0.0
2039913,Martín Guzmán,Everton de Viña del Mar,1,15.0,0,0,0,0.0
2038473,Joaquín González,Ñublense,1,15.0,0,0,0,0.0
1980426,Milovan Velásquez,Deportes La Serena,1,19.0,0,0,0,0.0
1981750,Daniel Saavedra,Ñublense,1,8.0,0,0,0,0.0
249373,Claudio Sepúlveda,Huachipato,10,766.0,11,11,0,0.0
1981736,Vicente Villegas,Coquimbo Unido,1,0.0,0,0,0,
2537211,Rodrigo Catalán,Colo-Colo,1,1.0,0,0,0,0.0
1386875,Dilan Salgado,Palestino,4,75.0,0,0,0,0.0
1403421,Axel Encinas,Unión La Calera,5,224.0,2,2,0,0.0
800239,Dieter Villalpando,Everton de Viña del Mar,7,510.0,6,6,0,0.0
805095,Jeisson Vargas,Deportes La Serena,11,930.0,12,12,0,0.0
1199238,Cristóbal Chadwick,Everton de Viña del Mar,1,2.0,0,0,0,0.0
986676,Matías Plaza,Ñublense,11,622.0,5,6,-1,-0.14
906100,Lucas Alarcón,Deportes La Serena,9,792.0,8,9,-1,-0.11
1014798,Luciano Arriagada,Huachipato,3,28.0,0,1,-1,-3.21
936901,Sebastián Sáez,Unión La Calera,11,963.0,11,12,-1,-0.09
923802,Thiago Vecino,O'Higgins,10,374.0,8,9,-1,-0.24
988146,Cristian Toro,Huachipato,3,140.0,1,2,-1,-0.64
1384618,Byron Navarro,Everton de Viña del Mar,3,86.0,0,1,-1,-1.05
805170,Matías Fernández,Colo-Colo,3,165.0,3,4,-1,-0.55
1199239,Emiliano Ramos,Everton de Viña del Mar,11,596.0,5,6,-1,-0.15
1440662,Favian Loyola,Audax Italiano,8,159.0,1,2,-1,-0.57
1473023,Diego Corral,Universidad Católica,4,201.0,4,5,-1,-0.45
1807803,Joan Orellana,Deportes La Serena,4,17.0,0,1,-1,-5.29
333405,Felipe Campos,Ñublense,7,506.0,4,5,-1,-0.18
889043,Rodrigo Holgado,Coquimbo Unido,3,82.0,0,1,-1,-1.1
