player_id,player,team,rival,match_id,date,venue,minutes,gf_on,ga_on,pm
942415,Bastián Yáñez,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,90.0,1,2,-1
923802,Thiago Vecino,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,72.0,1,2,-1
789677,Martín Sarrafiore,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,44.0,0,1,-1
2038202,Rodrigo Godoy,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,30.0,0,0,0
844183,Juan Leiva,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,30.0,0,0,0
849177,Arnaldo Castillo,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,18.0,0,0,0
1798259,Gabriel Pinto,O'Higgins,Deportes Limache,15352950,2026-02-14,Away,9.0,0,0,0
789923,Federico Lanzillotta,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
1002931,Bruno Gutiérrez,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,69.0,2,1,1
872138,Andrés Zanini,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
906100,Lucas Alarcón,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
1384819,Yahir Salazar,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,69.0,2,1,1
844271,Sebastián Díaz,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
986598,Joaquín Gutiérrez,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,84.0,2,1,1
316170,Gonzalo Escalante,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
874589,Matías Marín,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,69.0,2,1,1
805095,Jeisson Vargas,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,90.0,2,2,0
1063335,Felipe Chamorro,Deportes La Serena,Universidad Católica,15352951,2026-02-01,Home,54.0,2,1,1
