player_id,player,team,match_id,minutes,goals,assists,shots,sot,key_passes,big_chances_created,big_chances_missed,touches,passes,passes_acc,long_balls,long_balls_acc,crosses,crosses_acc,dribbles,dribbles_won,interceptions,clearances,tackles_won,tackles_total,aerial_won,ball_recovery,duel_won,duel_lost,blocked_shots,fouls,was_fouled,offsides,saves
1177211,Felipe Ogaz,O'Higgins,15352950,81,0,1,0,0,2,1,0,76,64,58,5,4,1,0,2,1,1,0,2,2,0,4,4,3,0,0,1,0,0
942415,Bastián Yáñez,O'Higgins,15352950,90,0,0,1,0,2,0,0,55,32,25,3,2,8,3,4,1,0,0,3,3,0,2,4,4,0,1,0,1,0
923802,Thiago Vecino,O'Higgins,15352950,72,0,0,1,0,0,0,0,23,17,13,1,1,0,0,1,0,0,0,0,0,2,1,2,5,0,0,1,0,0
789677,Martín Sarrafiore,O'Higgins,15352950,45,0,0,3,0,0,0,1,36,19,13,1,1,0,0,1,1,1,1,1,1,0,3,2,2,0,0,0,0,0
2038202,Rodrigo Godoy,O'Higgins,15352950,30,0,0,0,0,0,0,0,18,8,7,1,0,4,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
844183,Juan Leiva,O'Higgins,15352950,30,0,0,2,1,0,0,0,38,32,28,3,2,0,0,0,0,0,0,2,2,1,3,3,0,0,0,0,0,0
849177,Arnaldo Castillo,O'Higgins,15352950,18,0,0,1,1,0,0,0,11,8,3,0,0,0,0,0,0,0,0,0,0,2,0,2,1,0,0,0,1,0
1798259,Gabriel Pinto,O'Higgins,15352950,9,0,0,0,0,1,0,0,12,10,5,1,0,0,0,0,0,0,0,0,0,0,2,0,3,0,2,0,0,0
789923,Federico Lanzillotta,Deportes La Serena,15352951,90,0,0,0,0,0,0,0,45,35,20,17,2,0,0,0,0,0,2,0,0,0,10,0,0,0,0,0,0,2
1002931,Bruno Gutiérrez,Deportes La Serena,15352951,69,0,0,0,0,0,0,0,28,10,8,1,1,1,0,0,0,1,3,1,1,0,1,3,1,0,0,2,0,0
872138,Andrés Zanini,Deportes La Serena,15352951,90,0,0,0,0,0,0,0,53,33,19,13,2,0,0,0,0,2,11,0,2,2,2,4,4,2,2,0,0,0
906100,Lucas Alarcón,Deportes La Serena,15352951,90,0,0,0,0,0,0,0,46,27,21,5,0,0,0,0,0,1,8,2,3,6,2,11,3,3,1,2,0,0
1384819,Yahir Salazar,Deportes La Serena,15352951,69,0,0,0,0,0,0,0,33,15,10,2,1,0,0,0,0,2,2,0,2,1,2,3,3,0,1,0,0,0
844271,Sebastián Díaz,Deportes La Serena,15352951,70,0,0,0,0,0,0,0,33,24,21,1,1,0,0,0,0,0,2,0,3,2,3,6,3,0,2,1,0,0
986598,Joaquín Gutiérrez,Deportes La Serena,15352951,84,0,0,0,0,1,1,0,27,16,5,1,0,1,1,0,0,0,3,0,0,2,2,4,1,0,0,2,1,0
316170,Gonzalo Escalante,Deportes La Serena,15352951,90,0,0,0,0,0,0,0,51,36,27,7,2,0,0,1,0,4,3,0,0,0,5,3,6,0,2,3,0,0
874589,Matías Marín,Deportes La Serena,15352951,69,0,0,1,1,0,0,1,29,17,11,0,0,0,0,1,0,1,1,0,0,0,3,0,7,0,3,0,1,0
805095,Jeisson Vargas,Deportes La Serena,15352951,90,0,1,2,1,1,1,0,38,21,14,1,1,2,1,2,1,0,0,0,2,0,5,4,5,0,1,1,1,0
1063335,Felipe Chamorro,Deportes La Serena,15352951,54,2,0,3,5,0,0,1,16,7,5,0,0,1,1,0,0,1,0,0,0,2,1,3,5,0,4,1,1,0
1906001,Daniel Cordero,Deportes La Serena,15352951,36,0,0,1,0,2,0,0,15,5,3,0,0,0,0,0,0,0,0,0,0,2,0,2,11,0,2,0,1,0
1502658,Fernando Dinamarca,Deportes La Serena,15352951,21,0,0,0,0,0,0,0,4,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
1155908,Matías Pinto,Deportes La Serena,15352951,21,0,0,0,0,1,0,0,13,7,4,0,0,0,0,0,0,1,0,1,1,0,1,1,0,0,0,0,0,0
1875021,Bastián Contreras,Deportes La Serena,15352951,21,0,0,3,0,1,0,0,15,5,3,1,0,0,0,1,0,0,1,1,1,0,0,1,4,0,0,0,0,0
799653,Rafael Delgado,Deportes La Serena,15352951,13,0,0,0,0,0,0,0,3,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
1016653,Vicente Bernedo,Universidad Católica,15352951,90,0,0,0,0,0,0,0,33,25,16,11,3,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,0,3
