date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-08-30,14:00,Nantes,Auxerre,14065717,WHsXH,60,0.31666666666666665,0.31666666666666665,0.36666666666666664,1.0833333333333333,1.2,2.283333333333333,0.55,0.43333333333333335,1.2666666666666666,1.4166666666666667,10,0.4,0.2,0.4,1.2,1.4,2.6,0.6,0.5,1.4,1.4,5,0.6,0.2,0.2,1.4,0.8,2.2,0.6,0.4,2.0,0.8,77356,Ligue 1 25/26
2025-08-30,16:05,Toulouse,Paris Saint-Germain,14065705,YMTc,69,0.2318840579710145,0.2318840579710145,0.5362318840579711,0.8840579710144928,1.5797101449275361,2.463768115942029,0.4492753623188406,0.4927536231884058,0.927536231884058,1.8405797101449275,10,0.1,0.1,0.8,0.5,1.8,2.3,0.3,0.5,0.4,2.5,5,0.2,0.2,0.6,1.0,1.6,2.6,0.6,0.6,0.8,2.0,77356,Ligue 1 25/26
2025-08-31,10:00,Angers,Stade Rennais,14065714,iIsJI,29,0.20689655172413793,0.13793103448275862,0.6551724137931034,0.8620689655172413,1.6896551724137931,2.5517241379310347,0.4827586206896552,0.4827586206896552,0.7586206896551724,2.103448275862069,10,0.2,0.1,0.7,1.1,2.2,3.3,0.5,0.7,0.7,2.2,5,0.0,0.0,1.0,0.6,2.6,3.2,0.4,0.6,0.0,3.0,77356,Ligue 1 25/26
2025-08-31,12:15,AS Monaco,RC Strasbourg,14065706,dIsjI,70,0.5571428571428572,0.21428571428571427,0.22857142857142856,1.7,1.042857142857143,2.742857142857143,0.5142857142857142,0.5428571428571428,1.8857142857142857,0.9,10,0.6,0.2,0.2,1.7,1.0,2.7,0.5,0.5,2.0,0.8,5,0.8,0.2,0.0,2.2,0.8,3.0,0.4,0.6,2.6,0.2,77356,Ligue 1 25/26
2025-08-31,12:15,Le Havre,Nice,14065712,lIsmI,20,0.55,0.2,0.25,1.4,0.85,2.25,0.45,0.65,1.85,0.95,10,0.5,0.2,0.3,1.3,0.9,2.2,0.5,0.6,1.7,1.1,5,0.2,0.2,0.6,1.0,1.4,2.4,0.6,0.6,0.8,2.0,77356,Ligue 1 25/26
2025-08-31,12:15,Paris FC,Metz,14065708,bIsvwc,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.1666666666666665,6,0.16666666666666666,0.16666666666666666,0.6666666666666666,1.0,2.3333333333333335,3.3333333333333335,0.6666666666666666,0.6666666666666666,0.6666666666666666,2.1666666666666665,5,0.2,0.2,0.6,1.0,2.2,3.2,0.6,0.6,0.8,2.0,77356,Ligue 1 25/26
2025-08-31,15:45,Olympique Lyonnais,Olympique de Marseille,14065715,QHsZH,87,0.3563218390804598,0.3563218390804598,0.28735632183908044,1.5632183908045978,1.4482758620689655,3.0114942528735633,0.6206896551724138,0.5517241379310345,1.4252873563218391,1.2183908045977012,10,0.3,0.2,0.5,1.3,1.5,2.8,0.6,0.6,1.1,1.7,5,0.2,0.0,0.8,1.2,2.2,3.4,0.6,0.8,0.6,2.4,77356,Ligue 1 25/26
2025-09-12,15:45,Olympique de Marseille,Lorient,14065718,QHsgI,34,0.5882352941176471,0.23529411764705882,0.17647058823529413,1.911764705882353,1.1764705882352942,3.088235294117647,0.6470588235294118,0.5882352941176471,2.0,0.7647058823529411,10,0.9,0.1,0.0,2.7,0.8,3.5,0.6,0.7,2.8,0.1,5,0.8,0.2,0.0,2.6,0.8,3.4,0.6,0.8,2.6,0.2,77356,Ligue 1 25/26
2025-09-13,12:00,Nice,Nantes,14065721,XHslI,77,0.2857142857142857,0.36363636363636365,0.35064935064935066,1.0649350649350648,1.4415584415584415,2.5064935064935066,0.5844155844155844,0.4675324675324675,1.2207792207792207,1.4155844155844155,10,0.4,0.3,0.3,1.4,1.2,2.6,0.8,0.6,1.5,1.2,5,0.0,0.4,0.6,1.0,1.6,2.6,0.8,0.6,0.4,2.2,77356,Ligue 1 25/26
2025-09-13,16:05,Auxerre,AS Monaco,14065719,WHsdI,66,0.30303030303030304,0.36363636363636365,0.3333333333333333,1.0303030303030303,1.1818181818181819,2.212121212121212,0.4090909090909091,0.36363636363636365,1.2727272727272727,1.3636363636363635,10,0.2,0.2,0.6,1.0,1.7,2.7,0.4,0.4,0.8,2.0,5,0.0,0.2,0.8,1.4,2.8,4.2,0.8,0.8,0.2,2.6,77356,Ligue 1 25/26
