date,time,local_team,away_team,event_id,custom_id,h2h_all_matches,h2h_all_local_win_pct,h2h_all_draw_pct,h2h_all_away_win_pct,h2h_all_local_goals_avg,h2h_all_away_goals_avg,h2h_all_total_goals_avg,h2h_all_btts_pct,h2h_all_over25_pct,h2h_all_local_points_avg,h2h_all_away_points_avg,h2h_last10_matches,h2h_last10_local_win_pct,h2h_last10_draw_pct,h2h_last10_away_win_pct,h2h_last10_local_goals_avg,h2h_last10_away_goals_avg,h2h_last10_total_goals_avg,h2h_last10_btts_pct,h2h_last10_over25_pct,h2h_last10_local_points_avg,h2h_last10_away_points_avg,h2h_last5_matches,h2h_last5_local_win_pct,h2h_last5_draw_pct,h2h_last5_away_win_pct,h2h_last5_local_goals_avg,h2h_last5_away_goals_avg,h2h_last5_total_goals_avg,h2h_last5_btts_pct,h2h_last5_over25_pct,h2h_last5_local_points_avg,h2h_last5_away_points_avg,season_id,season_name
2025-09-20,13:00,Hellas Verona,Juventus,13981452,Mdbsbeb,66,0.18181818181818182,0.2727272727272727,0.5454545454545454,0.8333333333333334,1.6515151515151516,2.484848484848485,0.5,0.5454545454545454,0.8181818181818182,1.9090909090909092,10,0.1,0.3,0.6,0.6,1.5,2.1,0.4,0.3,0.6,2.1,5,0.0,0.2,0.8,0.4,1.8,2.2,0.2,0.4,0.2,2.6,76457,Serie A 25/26
2025-09-20,15:45,Udinese,Milan,13981453,RdbsVdb,78,0.20512820512820512,0.3333333333333333,0.46153846153846156,0.9615384615384616,1.641025641025641,2.6025641025641026,0.5641025641025641,0.5,0.9487179487179487,1.7179487179487178,10,0.2,0.3,0.5,1.2,1.8,3.0,0.7,0.5,0.9,1.8,5,0.4,0.0,0.6,1.2,1.8,3.0,0.4,0.6,1.2,1.8,76457,Serie A 25/26
2025-09-21,07:30,Lazio,Roma,13981457,Zdbsceb,102,0.2647058823529412,0.4117647058823529,0.3235294117647059,0.9607843137254902,1.1274509803921569,2.088235294117647,0.46078431372549017,0.3333333333333333,1.2058823529411764,1.3823529411764706,10,0.4,0.2,0.4,0.9,1.1,2.0,0.2,0.3,1.4,1.4,5,0.2,0.4,0.4,0.4,0.8,1.2,0.2,0.0,1.0,1.6,76457,Serie A 25/26
2025-09-21,10:00,Torino,Atalanta,13981454,LdbsWdb,70,0.38571428571428573,0.37142857142857144,0.24285714285714285,1.3428571428571427,1.1428571428571428,2.4857142857142858,0.5714285714285714,0.5,1.5285714285714285,1.1,10,0.2,0.3,0.5,1.8,2.3,4.1,0.8,0.9,0.9,1.8,5,0.4,0.2,0.4,1.4,1.4,2.8,0.6,0.8,1.4,1.4,76457,Serie A 25/26
2025-09-21,10:00,Cremonese,Parma,13981463,Pdbslfb,8,0.0,0.5,0.5,0.375,1.25,1.625,0.375,0.0,0.5,2.0,8,0.0,0.5,0.5,0.375,1.25,1.625,0.375,0.0,0.5,2.0,5,0.0,0.4,0.6,0.4,1.6,2.0,0.4,0.0,0.4,2.2,76457,Serie A 25/26
2025-09-21,13:00,Fiorentina,Como,13981461,Tdbseeb,18,0.3333333333333333,0.3888888888888889,0.2777777777777778,0.9444444444444444,0.8333333333333334,1.7777777777777777,0.4444444444444444,0.2777777777777778,1.3888888888888888,1.2222222222222223,10,0.3,0.3,0.4,1.0,1.0,2.0,0.4,0.3,1.2,1.5,5,0.4,0.0,0.6,1.4,1.4,2.8,0.4,0.4,1.2,1.8,76457,Serie A 25/26
2025-09-21,15:45,Inter,Sassuolo,13981456,XdbsTfb,22,0.45454545454545453,0.09090909090909091,0.45454545454545453,1.8636363636363635,1.3181818181818181,3.1818181818181817,0.5,0.6363636363636364,1.4545454545454546,1.4545454545454546,10,0.6,0.1,0.3,2.1,1.6,3.7,0.7,0.8,1.9,1.0,5,0.4,0.0,0.6,1.4,1.6,3.0,0.6,0.6,1.2,1.8,76457,Serie A 25/26
2025-09-22,15:45,SSC Napoli,Pisa,13981458,oebsMeb,14,0.35714285714285715,0.42857142857142855,0.21428571428571427,0.7857142857142857,0.5714285714285714,1.3571428571428572,0.35714285714285715,0.14285714285714285,1.5,1.0714285714285714,10,0.3,0.6,0.1,0.8,0.6,1.4,0.5,0.2,1.5,0.9,5,0.6,0.4,0.0,1.2,0.6,1.8,0.6,0.4,2.2,0.4,76457,Serie A 25/26
2025-09-27,10:00,Como,Cremonese,13981462,eebslfb,2,0.5,0.0,0.5,0.5,1.0,1.5,0.0,0.0,1.5,1.5,2,0.5,0.0,0.5,0.5,1.0,1.5,0.0,0.0,1.5,1.5,2,0.5,0.0,0.5,0.5,1.0,1.5,0.0,0.0,1.5,1.5,76457,Serie A 25/26
2025-09-27,13:00,Juventus,Atalanta,13981465,LdbsMdb,82,0.524390243902439,0.3902439024390244,0.08536585365853659,1.5975609756097562,0.7195121951219512,2.317073170731707,0.4634146341463415,0.4268292682926829,1.9634146341463414,0.6463414634146342,10,0.1,0.6,0.3,1.0,1.4,2.4,0.5,0.3,0.9,1.5,5,0.2,0.6,0.2,1.0,1.4,2.4,0.4,0.4,1.2,1.2,76457,Serie A 25/26
