source_url,date,time,local_team,away_team,decimal_home_win,decimal_draw,decimal_away_win,decimal_home_or_draw,decimal_draw_or_away,decimal_home_or_away,decimal_btts_yes,decimal_btts_no,decimal_over_15,decimal_under_15,decimal_over_25,decimal_under_25,season_id,season_name
https://www.sofascore.com/1-fc-heidenheim-sv-werder-bremen/JabsKrc,2025-10-18,10:30,1. FC Heidenheim,SV Werder Bremen,2.63,3.4,2.55,1.5,1.4444,1.3,1.5714,2.25,1.2,4.5,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-koln-fc-augsburg/acbswdb,2025-10-18,10:30,1. FC Köln,FC Augsburg,2.05,3.8,3.3,1.2857,1.9091,1.25,1.5333,2.375,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/borussia-dortmund-fc-bayern-munchen/xdbsydb,2025-10-18,13:30,FC Bayern München,Borussia Dortmund,1.36,5.5,7.5,1.1,3.0,1.1429,1.5,2.5,1.0833,8.0,1.3,3.5,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-sc-freiburg/Nabszdb,2025-10-19,10:30,SC Freiburg,Eintracht Frankfurt,2.45,3.5,2.8,1.4444,1.5,1.2857,1.5333,2.375,1.2,4.5,1.6667,2.2,77333,Bundesliga 25/26
https://www.sofascore.com/tsg-hoffenheim-fc-st-pauli/Babsubb,2025-10-19,12:30,FC St. Pauli,TSG Hoffenheim,2.7,3.4,2.55,1.5,1.4444,1.2857,1.5714,2.25,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-union-berlin-sv-werder-bremen/JabsXab,2025-10-24,15:30,SV Werder Bremen,1. FC Union Berlin,2.3,3.5,3.0,1.4,1.6154,1.2857,1.5714,2.25,1.2222,4.3333,1.7273,2.1,77333,Bundesliga 25/26
https://www.sofascore.com/rb-leipzig-fc-augsburg/acbskCo,2025-10-25,10:30,FC Augsburg,RB Leipzig,3.25,3.9,2.05,1.8,1.3333,1.25,1.4444,2.625,1.1429,5.5,1.5,2.625,77333,Bundesliga 25/26
https://www.sofascore.com/eintracht-frankfurt-fc-st-pauli/Babszdb,2025-10-25,10:30,Eintracht Frankfurt,FC St. Pauli,1.65,4.3333,4.5,1.2222,2.05,1.2222,1.5714,2.25,1.1667,5.0,1.5333,2.5,77333,Bundesliga 25/26
https://www.sofascore.com/hamburger-sv-vfl-wolfsburg/zabsBdb,2025-10-25,10:30,Hamburger SV,VfL Wolfsburg,2.2,3.6,3.1,1.3636,1.6667,1.2857,1.5,2.5,1.1667,5.0,1.5714,2.375,77333,Bundesliga 25/26
https://www.sofascore.com/1-fc-heidenheim-tsg-hoffenheim/ubbsKrc,2025-10-25,10:30,TSG Hoffenheim,1. FC Heidenheim,1.57,4.5,5.25,1.1667,2.3,1.1818,1.5333,2.375,1.1429,5.5,1.4444,2.75,77333,Bundesliga 25/26
